Square_Footage,Price
112.4,4285.17
239.16,8757.98
191.04,7225.24
161.7,6042.28
64.32,2862.61
64.32,2744.05
42.78,2005.8
220.56,8191.72
162.25,6255.87
185.78,7080.47
34.53,1742.01
243.38,9074.78
213.14,7938.6
76.71,3239.23
70.0,2916.26
70.35,2962.44
96.93,3865.2
145.45,5544.9
125.03,4807.07
94.07,3839.23
164.61,6392.33
60.69,2741.21
94.27,3673.86
110.6,4499.91
130.34,5029.92
202.74,7655.93
73.93,2996.87
143.13,5523.8
160.33,6142.96
40.22,1759.21
163.66,6288.92
67.52,2997.63
44.31,2033.43
238.75,8992.44
242.44,8966.4
207.85,7859.62
97.02,3673.67
51.49,2543.95
180.53,6968.14
126.83,4910.71
56.85,2292.49
138.94,5391.67
37.57,1670.4
230.05,8596.25
86.93,3583.76
175.75,6557.28
98.58,4062.27
144.41,5635.08
150.28,5857.25
70.67,2974.27
243.31,8874.25
200.53,7616.31
236.69,8757.1
226.86,8301.19
161.54,6289.03
232.81,8858.37
49.47,2227.27
73.12,3274.98
39.95,1907.38
101.57,4017.0
115.51,4479.77
89.7,3803.1
212.32,7853.26
108.49,4370.53
91.81,3657.28
149.39,5682.73
61.0,2738.14
206.48,7688.91
46.4,2083.56
247.12,9262.31
199.89,7656.02
73.72,3144.58
31.21,1527.04
209.4,7777.99
185.51,7000.79
190.38,7195.45
199.68,7390.0
46.29,2192.45
108.86,4318.74
55.49,2270.62
219.88,8103.0
167.13,6298.98
102.8,4090.63
43.98,2228.33
98.42,3968.38
101.54,3969.83
190.51,7190.03
170.26,6423.98
225.19,8414.01
133.89,5244.11
56.31,2591.8
186.91,7039.56
197.37,7571.94
153.48,5962.64
199.61,7415.7
138.64,5573.21
145.0,5607.74
124.06,4758.55
35.59,1911.02
53.74,2588.54
36.91,1788.7
170.01,6400.0
99.16,3953.3
141.89,5537.47
229.66,8666.05
84.84,3526.6
120.28,4720.12
196.22,7517.54
80.34,3280.46
46.94,2245.84
93.75,3752.28
65.47,2834.51
234.53,8697.32
207.79,7766.94
169.35,6389.47
221.72,8394.73
206.81,7664.98
71.05,2912.57
226.36,8634.8
148.66,5800.72
207.64,7528.78
227.14,8393.38
99.96,3817.43
54.21,2302.33
80.15,2991.25
123.96,4825.03
209.96,7734.52
219.36,8183.62
31.53,1441.02
142.36,5491.05
121.83,4722.57
78.86,3410.43
56.37,2614.1
104.28,4228.17
237.44,8777.74
101.1,4237.2
144.13,5389.38
184.66,6822.89
110.0,4341.57
243.79,9258.13
241.74,8940.61
85.39,3470.4
139.39,5234.62
96.19,3961.36
92.66,3838.59
38.12,1912.94
164.1,6180.72
140.59,5349.96
41.33,1817.07
91.3,3703.97
229.82,8435.61
82.7,3276.88
61.88,2623.32
137.68,5269.87
246.84,9085.71
83.25,3460.47
177.87,6733.35
197.56,7385.66
82.28,3398.11
190.21,7058.11
110.91,4392.46
169.11,6433.82
169.38,6277.87
147.87,5775.03
49.86,2157.09
213.77,7990.86
100.57,4136.45
71.03,3078.76
38.97,1867.4
160.0,6063.63
179.06,6862.0
33.65,1745.2
142.66,5431.28
79.83,3214.53
171.94,6310.59
68.36,2908.02
182.01,6861.95
115.08,4641.48
236.08,8798.73
60.25,2742.33
105.03,4106.47
54.96,2537.56
233.43,8617.25
223.01,8383.27
86.75,3390.27
175.2,6655.39
209.79,7644.14
152.14,5798.33
146.52,5672.34
83.21,3360.17
50.48,2161.85
227.39,8543.17
228.09,8472.87
169.28,6375.92
104.59,4164.72
106.83,4502.58
189.71,7255.21
227.36,8574.01
225.16,8424.12
201.57,7571.69
171.25,6254.04
48.51,2129.98
65.56,2746.48
227.68,8281.38
163.41,6103.76
32.02,1422.73
52.32,2327.5
